1-4|跨会话记忆|把值得保留的信息写入向量库，下次用问题检索回来。|程序重启后，普通 messages 列表会丢失；持久化让过去的信息还能参与回答。|只取相关记忆，避免把所有历史都塞进提示词。|相似度不等于事实正确；需要处理过期记忆、重复数据和用户隔离。|需要记住用户长期偏好的助手。|一次性问答，或没有权限保存个人信息的服务。|记住“我喜欢清淡”，换一种问法询问饮食偏好，观察 recall 是否找到原记录。
1-5|流式输出与工具调用|逐段接收模型输出；工具参数收齐后再调用工具，把结果交回模型。|整段生成完才显示会让用户一直等待，而工具参数又可能被切成多段。|用户更早看到文字；能理解文字流和工具调用如何衔接。|分片组装、多个工具索引和中途断流增加处理难度；流式不保证总耗时更短。|聊天界面、需要即时反馈的问答。|只需要最终结构化结果的后台批处理。|观察一个工具参数是否分多次到达：参数完整前能否解析 JSON？
1-6|先计划再执行|先生成步骤，再让执行器按步骤调用工具并汇总。|复杂问题一次直接回答容易漏步骤；拆开后能检查每步是否完成。|计划可见，失败时容易定位到具体步骤。|计划可能一开始就错；计划器和执行器增加调用成本。|依赖顺序明确的查询、比较和计算任务。|一句话就能回答的问题，或环境变化太快却没有重新规划能力的任务。|删掉计划中的一个必要步骤，观察执行器能否发现结果缺失。
1-7|反思与修订|先回答，再让模型检查答案，最后根据检查意见修订。|第一版可能遗漏约束；独立一轮检查有机会补上。|把检查意见保留下来，便于比较修改前后。|同一个模型可能重复自己的错误；多一轮反思不等于验证为真。|可以用明确条件检查的草稿、解释或解题过程。|必须由真实数据或确定性测试保证正确的关键判断。|给答案加一个可检查的限制，比较反思是否指出违反之处。
1-8|工具超时与重试|给天气工具增加失败重试、超时处理和结果缓存。|外部请求会失败或重复发生，不能让一次偶发错误终止整个流程。|临时故障可恢复，相同查询命中缓存时减少重复请求。|重试增加延迟；按城市缓存会过期。缓存查询结果不等于保证写操作幂等。|只读查询、可以安全重复的工具。|扣款、发信等有副作用的操作，除非另有业务幂等机制。|让第一次请求失败，检查重试次数；再查同城，检查缓存是否省去请求。
1-9|单 Agent 调用记录|把模型和工具执行过程记下来，展示调用与耗时。|只看最终答案无法知道慢在哪、错在哪。|可以沿记录回看输入、输出和执行步骤。|进程内记录不是完整监控系统；真实日志还需脱敏、存储和查询。|调试工具调用链、比较不同实现耗时。|需要跨进程追踪和长期审计却只有内存日志的系统。|让某个工具变慢，检查能否从记录中定位这一段。
1-10|完整单 Agent|把工具分发、错误处理和记录接入同一个模型循环。|单个机制学会后，需要看到它们如何共同服务一次用户请求。|一个入口能串起模型决策、执行工具和返回答案。|循环控制更复杂，工具出错和模型反复调用都需要上限与诊断。|小型有工具的问答助手原型。|直接承担高风险写操作的生产系统。|给一个需要天气和计算的问题，追踪两次工具结果怎样回到模型。
1-11|上下文窗口管理|估算历史长度，超出阈值时压缩历史并保留近期消息。|模型输入长度有限，历史越来越长还会增加延迟和费用。|持续对话不必无限保留所有原文。|字符估算不是精确 token 数；摘要会丢失细节。|长对话、保留大意比保留逐字原文更重要的场景。|需要逐条原文追溯的记录系统。|在早期消息埋入一个数字，触发压缩后检查数字是否仍被保留。
1-12|Token 与费用估算|按输入和输出用量分别计算费用，并与估算比较。|只看调用次数无法解释成本：每次输入输出长度都不同。|费用公式透明，便于比较提示词和回答长度。|源码单价是示例配置，不代表当前价格；估算应与供应商实际 usage 对照。|预算教学、不同方案的成本比较。|直接用字符估算作为正式账单。|把历史长度加倍，比较输入费用如何变化。
1-13|提示词策略对比|对同类问题尝试直接提问、示例、分步提示和角色提示。|提示内容改变模型收到的任务约束，需要通过对照看效果。|修改成本低，能快速比较表达方式。|单次好结果可能是偶然；更长提示增加成本，也可能限制过头。|有固定评价标准的提示词实验。|没有测试集却宣称某种提示永远更好。|用同一组问题比较四种提示，并记录正确率和输出长度。
1-14|结构化结果|让模型输出 JSON，解析失败时反馈错误并重试。|程序需要可靠字段，不能只接收一段自由文本。|结果可以进入后续函数和数据存储。|合法 JSON 不代表字段完整或内容正确；仍需类型和业务校验。|信息抽取、表单填充、机器间传值。|仅凭能解析就执行敏感操作。|让输入缺少一个字段，检查结果是明确空值还是模型编造。
1-15|请求缓存|相同请求再次出现时优先返回已保存的响应。|重复询问若每次调用模型，会重复付费和等待。|命中时速度快、减少调用费用。|缓存键需要考虑模型、提示词与用户；内存缓存重启即丢失，过期策略另需设计。|重复率高、答案变化慢的只读问答。|实时行情或不能混用不同用户答案的业务。|连续问两次，再改一个字符，观察是否命中及耗时差异。
1-16|提示注入实验|比较直接拼接不可信文本与加入防护后的行为。|文档或用户文本可能夹带“忽略规则”等指令，干扰原任务。|能直观看到提示边界的重要性。|关键词过滤和系统提示都不是完整安全边界，绕过形式很多。|在无副作用环境里学习和测试提示注入。|把这段示例当作工具权限、数据隔离或授权的替代品。|换一种不含原关键词的攻击表达，观察防护是否仍有效。
1-17|对话状态机|根据当前状态收集信息，并在条件满足后转到下一步。|自由对话容易跳过必要字段；状态把流程约束显式化。|每一阶段的必填信息和出口容易检查。|状态和分支变多后维护成本上升；模型抽取失败需要回退路径。|预约、下单前的信息收集。|完全开放、无法定义阶段的自由聊天。|在收集第二个字段时修改第一个字段，观察状态是否正确更新。
1-18|异步工具并行|对比逐个等待与同时等待多个天气任务。|相互独立的等待时间可以重叠，不必排队相加。|等待型任务可降低总耗时。|共享资源、异常传播和并发上限更复杂；模拟 sleep 的收益不代表真实系统。|相互独立的网络或磁盘查询。|有前后依赖的任务，或纯 CPU 重计算。|把一个工具等待时间调长，对比串行与并行的总时长。
1-19|单 Agent 评测|用固定问题集运行 Agent，再判定答案是否满足期望。|凭聊天感觉难以判断改动是否真的提升质量。|同一测试集可重复比较版本。|样本少会偏；模型裁判可能误判，要保留人工核对样本。|提示词或模型改动后的回归比较。|少量样例全部通过就声称对所有问题可靠。|加入一个容易误判的同义表达，比较精确匹配和裁判结果。
